portfolio_id,customer_id,mandate,risk_profile,account_type,benchmark,currency,inception_date,adviser_id,province,reg28_regulated,fee_bps,market_value_zar
PF00878,CUST333092,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2016-08-18,ADV020,Gauteng,1,95,17586273.1
PF00879,CUST015416,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2019-06-25,ADV003,Western Cape,1,35,7867194.87
PF00880,CUST282074,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2017-03-03,ADV007,Gauteng,1,105,14515566.83
PF00881,CUST063891,Property Focus,Moderate,Endowment,SAPY,ZAR,2018-06-14,ADV006,KwaZulu-Natal,0,100,11583475.69
PF00882,CUST429395,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2022-07-22,ADV025,Gauteng,1,95,54569743.13
PF00883,CUST356176,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2018-06-09,ADV018,Limpopo,1,95,1423961.77
PF00884,CUST312326,Balanced Growth,Moderate,Living Annuity,ALSI,ZAR,2020-06-25,ADV018,Eastern Cape,1,95,10905381.95
PF00885,CUST086885,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2016-12-11,ADV010,KwaZulu-Natal,1,70,8730989.02
PF00886,CUST394219,Conservative Income,Conservative,Pension Fund,ALBI,ZAR,2019-03-06,ADV006,Western Cape,1,70,10724981.16
PF00887,CUST160853,Property Focus,Moderate,Pension Fund,SAPY,ZAR,2017-02-02,ADV018,Gauteng,1,100,3999772.81
PF00888,CUST019223,Absolute Return,Moderate,Pension Fund,STeFI + 4%,ZAR,2020-09-15,ADV022,Gauteng,1,110,4932522.92
PF00889,CUST145838,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2016-09-24,ADV027,KwaZulu-Natal,1,110,283525560.18
PF00890,CUST457358,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2016-11-23,ADV012,Eastern Cape,1,70,1397212.56
PF00891,CUST489821,Money Market,Conservative,Discretionary,STeFI,ZAR,2017-01-31,ADV004,Western Cape,0,35,11861990.76
PF00892,CUST065148,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2023-03-18,ADV011,Western Cape,1,100,18863304.11
PF00893,CUST244134,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2024-08-23,ADV026,Western Cape,1,105,12890593.33
PF00894,CUST092760,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2025-01-11,ADV016,Western Cape,1,70,7639086.04
PF00895,CUST039886,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2019-08-05,ADV005,Gauteng,1,110,3719323.94
PF00896,CUST480517,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2017-05-11,ADV001,Western Cape,1,95,31817801.5
PF00897,CUST061660,Property Focus,Moderate,Pension Fund,SAPY,ZAR,2025-05-11,ADV021,Gauteng,1,100,3369148.65
PF00898,CUST143840,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2021-11-12,ADV008,Gauteng,1,120,35089347.77
PF00899,CUST228068,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2022-01-21,ADV025,Free State,0,105,7991942.92
PF00900,CUST147254,Balanced Growth,Moderate,Tax-Free Savings,ALSI,ZAR,2017-05-08,ADV016,Eastern Cape,1,95,3276453.27
PF00901,CUST093568,Absolute Return,Moderate,Pension Fund,STeFI + 4%,ZAR,2015-10-24,ADV003,Gauteng,1,110,7137710.47
PF00902,CUST270033,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2018-04-21,ADV028,North West,1,100,5925344.79
PF00903,CUST051253,Aggressive Equity,Aggressive,Endowment,SWIX,ZAR,2022-02-19,ADV004,KwaZulu-Natal,1,120,4166407.41
PF00904,CUST107090,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2020-02-01,ADV008,Eastern Cape,1,105,1597835.09
PF00905,CUST469171,Conservative Income,Conservative,Retirement Annuity,ALBI,ZAR,2023-03-15,ADV023,Gauteng,1,70,66361665.99
PF00906,CUST268737,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2020-07-15,ADV019,Gauteng,1,110,14551524.96
PF00907,CUST151764,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2017-07-07,ADV013,Free State,1,105,282341.7
PF00908,CUST438336,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2018-08-05,ADV005,Western Cape,1,95,3575228.6
PF00909,CUST135254,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2023-05-22,ADV005,KwaZulu-Natal,1,120,1420341.08
PF00910,CUST026490,Absolute Return,Moderate,Tax-Free Savings,STeFI + 4%,ZAR,2022-08-26,ADV013,Eastern Cape,1,110,49937893.94
PF00911,CUST469088,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2025-04-12,ADV018,Gauteng,1,120,93972365.46
PF00912,CUST358659,Property Focus,Moderate,Discretionary,SAPY,ZAR,2024-03-06,ADV007,Free State,0,100,1984175.93
PF00913,CUST241859,Absolute Return,Moderate,Endowment,STeFI + 4%,ZAR,2018-08-21,ADV004,Gauteng,1,110,519595.02
PF00914,CUST255554,Offshore Feeder,Aggressive,Living Annuity,MSCI World,ZAR,2018-11-21,ADV027,Free State,0,105,8882539.13
PF00915,CUST354616,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2020-07-01,ADV011,Eastern Cape,1,70,82459337.77
PF00916,CUST497130,Absolute Return,Moderate,Tax-Free Savings,STeFI + 4%,ZAR,2024-07-02,ADV027,KwaZulu-Natal,1,110,2340146.56
PF00917,CUST119901,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2021-06-27,ADV008,Gauteng,1,120,3039884.3
PF00918,CUST478598,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2018-07-13,ADV017,North West,1,105,114926883.98
PF00919,CUST046994,Conservative Income,Conservative,Pension Fund,ALBI,ZAR,2022-07-13,ADV010,Gauteng,1,70,3834053.44
PF00920,CUST338707,Balanced Growth,Moderate,Pension Fund,ALSI,ZAR,2020-11-27,ADV012,Gauteng,1,95,6154394.25
PF00921,CUST498422,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2022-11-15,ADV014,Gauteng,0,105,11017113.84
PF00922,CUST124892,Conservative Income,Conservative,Pension Fund,ALBI,ZAR,2023-09-10,ADV018,Gauteng,1,70,35888342.13
PF00923,CUST214688,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2016-01-27,ADV021,Western Cape,1,95,207877001.36
PF00924,CUST207740,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2024-09-20,ADV006,Gauteng,1,120,883187.23
PF00925,CUST448291,Balanced Growth,Moderate,Tax-Free Savings,ALSI,ZAR,2019-07-30,ADV010,KwaZulu-Natal,1,95,3579887.75
PF00926,CUST439203,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2023-01-03,ADV002,Mpumalanga,1,95,11516877.95
PF00927,CUST481075,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2023-06-21,ADV010,Western Cape,0,105,29399761.68
PF00928,CUST423977,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2018-08-10,ADV020,KwaZulu-Natal,0,105,4568539.8
PF00929,CUST202098,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2020-11-13,ADV015,Western Cape,1,95,28094871.57
PF00930,CUST158697,Money Market,Conservative,Discretionary,STeFI,ZAR,2022-05-10,ADV022,Limpopo,0,35,40779748.17
PF00931,CUST172025,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2019-01-22,ADV011,Gauteng,1,70,21272449.12
PF00932,CUST045513,Money Market,Conservative,Tax-Free Savings,STeFI,ZAR,2019-04-14,ADV005,Gauteng,0,35,820165.62
PF00933,CUST062152,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2021-08-26,ADV011,Western Cape,1,70,1420555.69
PF00934,CUST284987,Property Focus,Moderate,Discretionary,SAPY,ZAR,2022-07-31,ADV016,Gauteng,0,100,6731811.07
PF00935,CUST089877,Conservative Income,Conservative,Tax-Free Savings,ALBI,ZAR,2022-10-23,ADV023,Eastern Cape,1,70,9958953.03
PF00936,CUST034382,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2025-05-06,ADV010,Gauteng,1,95,40897259.09
PF00937,CUST382902,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2021-08-07,ADV016,Gauteng,1,120,60165336.86
PF00938,CUST035095,Property Focus,Moderate,Tax-Free Savings,SAPY,ZAR,2023-07-31,ADV007,Gauteng,0,100,12726981.53
PF00939,CUST096467,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2016-10-19,ADV020,Gauteng,1,95,9350503.02
PF00940,CUST007092,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2023-02-26,ADV013,Gauteng,1,110,4324906.93
PF00941,CUST479739,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2019-07-07,ADV016,Free State,1,95,5419701.13
PF00942,CUST100351,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2015-06-29,ADV019,Eastern Cape,1,110,42234186.31
PF00943,CUST358312,Money Market,Conservative,Living Annuity,STeFI,ZAR,2024-05-25,ADV002,Eastern Cape,0,35,316405.49
PF00944,CUST263467,Money Market,Conservative,Living Annuity,STeFI,ZAR,2020-11-04,ADV015,Gauteng,0,35,16935893.32
PF00945,CUST452990,Absolute Return,Moderate,Tax-Free Savings,STeFI + 4%,ZAR,2016-03-12,ADV011,KwaZulu-Natal,1,110,15286179.42
PF00946,CUST466263,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2019-07-30,ADV019,Western Cape,1,70,15834050.78
PF00947,CUST014516,Offshore Feeder,Aggressive,Living Annuity,MSCI World,ZAR,2024-04-03,ADV028,Gauteng,0,105,2106443.92
PF00948,CUST085685,Money Market,Conservative,Endowment,STeFI,ZAR,2021-08-20,ADV017,Gauteng,0,35,11824047.29
PF00949,CUST302735,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2024-11-26,ADV004,Mpumalanga,1,120,2426321.18
PF00950,CUST366000,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2023-10-22,ADV028,Gauteng,1,105,26268332.76
PF00951,CUST046514,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2016-06-25,ADV027,Gauteng,1,110,1185779.45
PF00952,CUST355705,Property Focus,Moderate,Living Annuity,SAPY,ZAR,2024-12-09,ADV020,Gauteng,0,100,37318822.97
PF00953,CUST097175,Balanced Growth,Moderate,Living Annuity,ALSI,ZAR,2022-01-16,ADV004,Gauteng,1,95,14701583.96
PF00954,CUST129220,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2018-12-04,ADV017,Gauteng,1,95,51761559.21
PF00955,CUST016870,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2024-05-01,ADV017,Mpumalanga,1,95,3811315.15
PF00956,CUST048668,Conservative Income,Conservative,Pension Fund,ALBI,ZAR,2024-07-02,ADV010,Free State,1,70,8142855.61
PF00957,CUST356601,Conservative Income,Conservative,Tax-Free Savings,ALBI,ZAR,2017-01-24,ADV007,Gauteng,1,70,107863036.57
PF00958,CUST097151,Balanced Growth,Moderate,Tax-Free Savings,ALSI,ZAR,2019-03-20,ADV002,Gauteng,1,95,48566366.22
PF00959,CUST176682,Money Market,Conservative,Discretionary,STeFI,ZAR,2019-02-05,ADV025,Gauteng,0,35,1805410.09
PF00960,CUST200030,Money Market,Conservative,Discretionary,STeFI,ZAR,2016-09-24,ADV016,Northern Cape,0,35,400744.62
PF00961,CUST116279,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2020-06-02,ADV014,Gauteng,1,105,10754122.3
PF00962,CUST490629,Balanced Growth,Moderate,Living Annuity,ALSI,ZAR,2025-03-28,ADV011,Gauteng,1,95,6582674.17
PF00963,CUST075741,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2015-07-02,ADV006,Gauteng,1,70,25887052.77
PF00964,CUST267481,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2018-06-02,ADV005,Western Cape,1,70,19195680.88
PF00965,CUST004317,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2024-04-08,ADV022,Gauteng,1,70,5950454.29
PF00966,CUST024990,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2023-04-23,ADV022,Mpumalanga,1,70,7111090.77
PF00967,CUST088370,Money Market,Conservative,Tax-Free Savings,STeFI,ZAR,2023-03-09,ADV004,Western Cape,0,35,175544642.59
PF00968,CUST454784,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2016-11-11,ADV020,Mpumalanga,1,95,7097770.84
PF00969,CUST466239,Offshore Feeder,Aggressive,Living Annuity,MSCI World,ZAR,2015-12-06,ADV010,Gauteng,0,105,7472744.94
PF00970,CUST276263,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2020-06-17,ADV022,KwaZulu-Natal,1,35,24069340.07
PF00971,CUST223523,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2018-12-29,ADV001,Northern Cape,1,100,15688197.84
PF00972,CUST047324,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2015-12-02,ADV003,KwaZulu-Natal,1,105,1900162.68
PF00973,CUST109549,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2015-11-28,ADV002,KwaZulu-Natal,1,120,6066025.66
PF00974,CUST319365,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2024-01-27,ADV001,KwaZulu-Natal,1,95,23460688.05
PF00975,CUST486684,Money Market,Conservative,Living Annuity,STeFI,ZAR,2018-06-02,ADV006,Gauteng,0,35,7035509.42
PF00976,CUST245943,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2015-11-22,ADV016,Eastern Cape,0,105,14547797.31
PF00977,CUST348465,Money Market,Conservative,Discretionary,STeFI,ZAR,2025-05-15,ADV002,KwaZulu-Natal,0,35,27260457.79
PF00978,CUST051118,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2019-12-09,ADV019,Gauteng,1,95,5738537.63
PF00979,CUST096422,Balanced Growth,Moderate,Living Annuity,ALSI,ZAR,2024-11-19,ADV016,Eastern Cape,1,95,5407080.34
PF00980,CUST355088,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2023-05-15,ADV027,Western Cape,1,110,33447108.69
PF00981,CUST097966,Property Focus,Moderate,Living Annuity,SAPY,ZAR,2015-12-23,ADV022,Western Cape,0,100,6430957.69
PF00982,CUST196808,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2023-07-16,ADV018,Western Cape,1,95,2799701.03
PF00983,CUST101971,Balanced Growth,Moderate,Living Annuity,ALSI,ZAR,2021-02-18,ADV017,Western Cape,1,95,16481376.18
PF00984,CUST385913,Offshore Feeder,Aggressive,Living Annuity,MSCI World,ZAR,2022-07-29,ADV022,Free State,0,105,2320691.29
PF00985,CUST392428,Conservative Income,Conservative,Endowment,ALBI,ZAR,2019-12-05,ADV010,Western Cape,1,70,8710151.94
PF00986,CUST048276,Money Market,Conservative,Living Annuity,STeFI,ZAR,2024-07-26,ADV024,Gauteng,0,35,15040617.09
PF00987,CUST313772,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2020-01-02,ADV008,Western Cape,1,110,969288.36
PF00988,CUST031327,Absolute Return,Moderate,Pension Fund,STeFI + 4%,ZAR,2016-04-22,ADV023,Mpumalanga,1,110,9508362.72
PF00989,CUST328830,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2024-10-11,ADV019,Gauteng,0,105,45011288.11
PF00990,CUST371103,Balanced Growth,Moderate,Living Annuity,ALSI,ZAR,2022-07-14,ADV013,Limpopo,1,95,2109390.39
PF00991,CUST472248,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2017-12-02,ADV013,Gauteng,1,110,3948658.18
PF00992,CUST421610,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2021-06-11,ADV005,Mpumalanga,1,105,8666103.4
PF00993,CUST269532,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2019-02-21,ADV001,Gauteng,1,35,3855126.23
PF00994,CUST144315,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2020-07-07,ADV026,KwaZulu-Natal,1,110,38254284.01
PF00995,CUST180560,Balanced Growth,Moderate,Living Annuity,ALSI,ZAR,2016-09-03,ADV017,Western Cape,1,95,1970183.44
PF00996,CUST216154,Property Focus,Moderate,Discretionary,SAPY,ZAR,2021-10-11,ADV027,Gauteng,0,100,1204069.39
PF00997,CUST152247,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2023-10-06,ADV013,Gauteng,1,35,37371697.98
PF00998,CUST000169,Property Focus,Moderate,Pension Fund,SAPY,ZAR,2022-08-07,ADV005,KwaZulu-Natal,1,100,679794.18
PF00999,CUST342274,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2025-09-22,ADV024,KwaZulu-Natal,1,95,51592439.69
PF01000,CUST233507,Property Focus,Moderate,Living Annuity,SAPY,ZAR,2021-10-08,ADV004,KwaZulu-Natal,0,100,32671750.4
PF01001,CUST052969,Balanced Growth,Moderate,Tax-Free Savings,ALSI,ZAR,2023-01-27,ADV018,Mpumalanga,1,95,13721396.76
PF01002,CUST007811,Property Focus,Moderate,Discretionary,SAPY,ZAR,2024-08-08,ADV016,KwaZulu-Natal,0,100,29189415.19
PF01003,CUST348244,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2023-02-25,ADV011,Eastern Cape,1,70,1095357.32
PF01004,CUST280658,Money Market,Conservative,Pension Fund,STeFI,ZAR,2024-09-12,ADV028,Mpumalanga,1,35,3369028.33
PF01005,CUST076988,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2022-09-04,ADV015,North West,0,105,593132.32
PF01006,CUST414449,Absolute Return,Moderate,Living Annuity,STeFI + 4%,ZAR,2018-01-31,ADV015,Mpumalanga,1,110,15754661.17
PF01007,CUST191549,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2019-07-27,ADV028,KwaZulu-Natal,1,35,46348714.15
PF01008,CUST241604,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2016-02-29,ADV023,Western Cape,1,70,9157399.06
PF01009,CUST270582,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2025-08-08,ADV026,Gauteng,1,100,9358286.95
PF01010,CUST173485,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2018-08-08,ADV010,North West,1,120,4933578.25
PF01011,CUST294531,Absolute Return,Moderate,Tax-Free Savings,STeFI + 4%,ZAR,2015-10-27,ADV005,Western Cape,1,110,16837899.08
PF01012,CUST455939,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2020-01-10,ADV026,KwaZulu-Natal,1,110,11432830.42
PF01013,CUST102927,Property Focus,Moderate,Living Annuity,SAPY,ZAR,2024-07-16,ADV024,KwaZulu-Natal,0,100,83513908.27
PF01014,CUST477708,Balanced Growth,Moderate,Living Annuity,ALSI,ZAR,2015-05-16,ADV021,Gauteng,1,95,11951480.83
PF01015,CUST432802,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2017-01-09,ADV020,Mpumalanga,1,105,7492484.77
PF01016,CUST189705,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2017-08-08,ADV001,Western Cape,1,120,78138525.87
PF01017,CUST291935,Absolute Return,Moderate,Tax-Free Savings,STeFI + 4%,ZAR,2019-08-26,ADV012,Gauteng,1,110,19299532.44
PF01018,CUST419561,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2020-12-17,ADV004,Western Cape,1,70,21808683.88
PF01019,CUST370463,Offshore Feeder,Aggressive,Tax-Free Savings,MSCI World,ZAR,2016-03-05,ADV023,Eastern Cape,0,105,1951898.35
PF01020,CUST238291,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2015-10-09,ADV007,Gauteng,1,110,35432462.78
PF01021,CUST431246,Property Focus,Moderate,Pension Fund,SAPY,ZAR,2022-08-22,ADV015,Gauteng,1,100,8360630.3
PF01022,CUST374870,Aggressive Equity,Aggressive,Tax-Free Savings,SWIX,ZAR,2015-05-16,ADV003,North West,1,120,7256880.96
PF01023,CUST186334,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2018-04-15,ADV021,Western Cape,1,120,8884905.49
PF01024,CUST066274,Money Market,Conservative,Discretionary,STeFI,ZAR,2016-07-28,ADV003,Gauteng,0,35,29021946.42
PF01025,CUST224590,Offshore Feeder,Aggressive,Living Annuity,MSCI World,ZAR,2018-03-12,ADV013,Gauteng,0,105,40395325.82
PF01026,CUST146184,Absolute Return,Moderate,Living Annuity,STeFI + 4%,ZAR,2025-10-05,ADV024,Western Cape,1,110,16404355.92
PF01027,CUST058232,Money Market,Conservative,Discretionary,STeFI,ZAR,2019-05-18,ADV001,Eastern Cape,0,35,25161234.79
PF01028,CUST156513,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2022-04-22,ADV003,Gauteng,1,100,16635038.24
PF01029,CUST258959,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2017-11-23,ADV025,Eastern Cape,1,120,83967467.66
PF01030,CUST260678,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2015-07-19,ADV021,Gauteng,1,95,16344305.66
PF01031,CUST009666,Balanced Growth,Moderate,Pension Fund,ALSI,ZAR,2025-01-28,ADV018,Gauteng,1,95,1369348.43
PF01032,CUST420082,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2016-05-29,ADV025,Gauteng,1,35,4381553.62
PF01033,CUST460647,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2017-07-16,ADV008,Western Cape,1,110,4357773.36
PF01034,CUST239008,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2020-01-13,ADV022,Limpopo,1,105,2607129.68
PF01035,CUST302654,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2016-04-15,ADV024,KwaZulu-Natal,1,95,9021592.41
PF01036,CUST121439,Money Market,Conservative,Living Annuity,STeFI,ZAR,2024-03-25,ADV017,Gauteng,0,35,11174217.66
PF01037,CUST493877,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2019-07-19,ADV011,Western Cape,1,120,5363244.15
PF01038,CUST382554,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2015-09-11,ADV021,Gauteng,1,120,68584894.01
PF01039,CUST117445,Money Market,Conservative,Living Annuity,STeFI,ZAR,2017-10-17,ADV019,Limpopo,0,35,360110995.22
PF01040,CUST103512,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2019-10-27,ADV007,Gauteng,1,105,15672910.01
PF01041,CUST270661,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2015-09-04,ADV027,Eastern Cape,1,105,2183678.77
PF01042,CUST132166,Money Market,Conservative,Tax-Free Savings,STeFI,ZAR,2016-03-25,ADV019,Gauteng,0,35,18431577.52
PF01043,CUST284614,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2020-06-11,ADV013,Gauteng,1,35,9296545.72
PF01044,CUST262393,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2022-07-03,ADV020,Western Cape,1,120,9884963.52
PF01045,CUST155798,Property Focus,Moderate,Living Annuity,SAPY,ZAR,2021-02-16,ADV010,Western Cape,0,100,1472503.2
PF01046,CUST201699,Conservative Income,Conservative,Retirement Annuity,ALBI,ZAR,2018-02-20,ADV022,Gauteng,1,70,3677810.99
PF01047,CUST311273,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2020-03-02,ADV017,Gauteng,1,120,3575378.81
PF01048,CUST118759,Offshore Feeder,Aggressive,Tax-Free Savings,MSCI World,ZAR,2016-12-01,ADV004,Gauteng,0,105,9028411.72
PF01049,CUST149656,Money Market,Conservative,Tax-Free Savings,STeFI,ZAR,2018-09-09,ADV024,Western Cape,0,35,1764326.2
PF01050,CUST117955,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2020-03-12,ADV013,Western Cape,1,110,5927909.79
PF01051,CUST051856,Conservative Income,Conservative,Tax-Free Savings,ALBI,ZAR,2020-01-16,ADV024,Gauteng,1,70,18717214.36
PF01052,CUST341544,Property Focus,Moderate,Discretionary,SAPY,ZAR,2019-02-01,ADV021,Mpumalanga,0,100,1418262.56
PF01053,CUST193942,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2015-04-11,ADV024,Western Cape,1,100,4414869.08
PF01054,CUST222592,Conservative Income,Conservative,Retirement Annuity,ALBI,ZAR,2018-08-23,ADV010,Gauteng,1,70,77741130.92
PF01055,CUST122214,Money Market,Conservative,Living Annuity,STeFI,ZAR,2017-08-09,ADV020,Gauteng,0,35,21208452.72
PF01056,CUST415069,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2015-02-11,ADV022,Free State,1,110,14748055.13
PF01057,CUST402633,Absolute Return,Moderate,Discretionary,STeFI + 4%,ZAR,2024-03-16,ADV016,Limpopo,1,110,199951094.05
PF01058,CUST197413,Property Focus,Moderate,Retirement Annuity,SAPY,ZAR,2015-09-13,ADV026,Eastern Cape,1,100,1145562.06
PF01059,CUST051142,Offshore Feeder,Aggressive,Living Annuity,MSCI World,ZAR,2021-06-02,ADV013,Eastern Cape,0,105,21058568.07
PF01060,CUST241196,Aggressive Equity,Aggressive,Endowment,SWIX,ZAR,2018-06-30,ADV008,Free State,1,120,1699278.61
PF01061,CUST445233,Balanced Growth,Moderate,Pension Fund,ALSI,ZAR,2019-10-10,ADV016,Mpumalanga,1,95,51222450.49
PF01062,CUST019179,Balanced Growth,Moderate,Living Annuity,ALSI,ZAR,2017-01-15,ADV009,Gauteng,1,95,10369905.59
PF01063,CUST082259,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2017-08-10,ADV022,Eastern Cape,1,35,13380214.83
PF01064,CUST139145,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2015-09-14,ADV016,Mpumalanga,1,110,69938468.53
PF01065,CUST019808,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2024-01-31,ADV005,Limpopo,1,70,60316834.36
PF01066,CUST080198,Absolute Return,Moderate,Pension Fund,STeFI + 4%,ZAR,2021-08-29,ADV015,Eastern Cape,1,110,14243703.54
PF01067,CUST391696,Offshore Feeder,Aggressive,Living Annuity,MSCI World,ZAR,2019-11-17,ADV020,KwaZulu-Natal,0,105,7635156.92
PF01068,CUST390405,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2016-08-18,ADV007,Western Cape,1,105,9206518.39
PF01069,CUST183217,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2017-03-05,ADV005,Free State,1,95,5480221.11
PF01070,CUST442819,Aggressive Equity,Aggressive,Discretionary,SWIX,ZAR,2023-11-22,ADV004,Western Cape,1,120,838996.93
PF01071,CUST013493,Absolute Return,Moderate,Retirement Annuity,STeFI + 4%,ZAR,2021-02-14,ADV010,Gauteng,1,110,4641737.85
PF01072,CUST126032,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2021-06-06,ADV023,Gauteng,1,105,10741870.79
PF01073,CUST114588,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2016-09-24,ADV006,KwaZulu-Natal,1,120,4656109.76
PF01074,CUST106700,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2022-05-01,ADV025,Free State,1,105,1082605.49
